Tanggal;Harga
15/07/2021;134600
16/07/2021;134600
19/07/2021;134750
20/07/2021;140000
21/07/2021;135550
22/07/2021;136300
23/07/2021;136250
26/07/2021;136300
27/07/2021;136650
28/07/2021;135200
29/07/2021;135500
30/07/2021;135800
02/08/2021;134950
03/08/2021;135150
04/08/2021;134900
05/08/2021;134650
06/08/2021;134350
09/08/2021;134350
10/08/2021;128100
11/08/2021;130500
12/08/2021;135200
13/08/2021;134100
16/08/2021;134300
17/08/2021;139150
18/08/2021;134250
19/08/2021;134650
20/08/2021;133700
23/08/2021;135250
24/08/2021;134850
25/08/2021;119200
26/08/2021;135800
27/08/2021;133650
30/08/2021;134600
31/08/2021;134250
01/09/2021;134250
02/09/2021;134250
03/09/2021;135150
06/09/2021;134250
07/09/2021;134450
08/09/2021;120450
09/09/2021;135150
10/09/2021;134350
13/09/2021;134900
14/09/2021;134500
15/09/2021;134950
16/09/2021;134950
17/09/2021;134400
20/09/2021;134650
21/09/2021;130000
22/09/2021;135200
23/09/2021;134500
24/09/2021;134950
27/09/2021;135050
28/09/2021;135050
29/09/2021;135050
30/09/2021;135900
01/10/2021;135900
04/10/2021;134400
05/10/2021;134500
06/10/2021;134950
07/10/2021;134400
08/10/2021;134400
11/10/2021;134500
12/10/2021;134500
13/10/2021;134450
14/10/2021;134500
15/10/2021;134450
18/10/2021;135150
19/10/2021;134350
20/10/2021;135750
21/10/2021;134450
22/10/2021;134050
25/10/2021;135000
26/10/2021;135000
27/10/2021;135250
28/10/2021;135300
29/10/2021;135650
01/11/2021;135300
02/11/2021;135650
03/11/2021;135300
04/11/2021;135500
05/11/2021;135500
08/11/2021;135500
09/11/2021;135500
10/11/2021;136450
11/11/2021;135500
12/11/2021;135500
15/11/2021;135500
16/11/2021;135500
17/11/2021;135500
18/11/2021;135600
19/11/2021;136400
22/11/2021;134850
23/11/2021;134850
24/11/2021;134800
25/11/2021;135000
26/11/2021;134900
29/11/2021;134700
30/11/2021;134700
01/12/2021;135000
02/12/2021;134900
03/12/2021;135500
06/12/2021;135150
07/12/2021;134700
08/12/2021;134950
09/12/2021;134700
10/12/2021;134900
13/12/2021;134950
14/12/2021;135050
15/12/2021;134950
16/12/2021;135150
17/12/2021;120850
20/12/2021;135350
21/12/2021;135350
22/12/2021;128000
23/12/2021;129150
24/12/2021;121000
27/12/2021;134850
28/12/2021;128400
29/12/2021;134950
30/12/2021;136000
31/12/2021;120000
03/01/2022;136100
04/01/2022;135750
05/01/2022;135800
06/01/2022;135650
07/01/2022;135950
10/01/2022;130750
11/01/2022;135000
12/01/2022;135050
13/01/2022;135000
14/01/2022;135100
17/01/2022;135050
18/01/2022;135350
19/01/2022;135100
20/01/2022;135700
21/01/2022;135700
24/01/2022;135250
25/01/2022;135250
26/01/2022;135250
27/01/2022;135250
28/01/2022;135350
31/01/2022;135300
01/02/2022;135650
02/02/2022;135300
03/02/2022;135150
04/02/2022;135400
07/02/2022;135200
08/02/2022;135250
09/02/2022;135400
10/02/2022;135550
11/02/2022;136600
14/02/2022;135950
15/02/2022;136200
16/02/2022;136200
17/02/2022;136200
18/02/2022;136800
21/02/2022;135150
22/02/2022;135150
23/02/2022;136200
24/02/2022;136200
25/02/2022;136300
28/02/2022;138500
01/03/2022;137850
02/03/2022;137500
03/03/2022;140000
04/03/2022;137500
07/03/2022;137500
08/03/2022;137300
09/03/2022;138050
10/03/2022;138150
11/03/2022;138350
14/03/2022;138900
15/03/2022;138250
16/03/2022;138900
17/03/2022;139600
18/03/2022;139950
21/03/2022;138050
22/03/2022;138900
23/03/2022;138800
24/03/2022;139050
25/03/2022;140200
28/03/2022;141150
29/03/2022;141350
30/03/2022;141150
31/03/2022;141600
01/04/2022;141550
04/04/2022;142800
05/04/2022;144050
06/04/2022;143700
07/04/2022;143600
08/04/2022;144650
11/04/2022;143950
12/04/2022;143950
13/04/2022;144800
14/04/2022;144700
15/04/2022;146250
18/04/2022;143700
19/04/2022;143500
20/04/2022;143550
21/04/2022;144050
22/04/2022;142450
25/04/2022;144300
26/04/2022;145150
27/04/2022;149000
28/04/2022;151650
29/04/2022;161000
02/05/2022;
03/05/2022;
04/05/2022;163350
05/05/2022;157800
06/05/2022;156650
09/05/2022;150450
10/05/2022;150300
11/05/2022;149650
12/05/2022;148450
13/05/2022;148450
16/05/2022;148500
17/05/2022;148900
18/05/2022;148650
19/05/2022;148600
20/05/2022;148300
23/05/2022;148800
24/05/2022;148800
25/05/2022;148550
26/05/2022;146750
27/05/2022;147000
30/05/2022;147500
31/05/2022;146900
01/06/2022;150000
02/06/2022;147200
03/06/2022;145950
06/06/2022;144950
07/06/2022;144800
08/06/2022;144800
09/06/2022;147400
10/06/2022;147400
13/06/2022;146450
14/06/2022;146550
15/06/2022;145300
16/06/2022;147000
17/06/2022;146950
20/06/2022;147050
21/06/2022;145800
22/06/2022;145700
23/06/2022;145800
24/06/2022;146150
27/06/2022;145900
28/06/2022;145900
29/06/2022;146250
30/06/2022;145900
01/07/2022;145700
04/07/2022;147400
05/07/2022;139850
06/07/2022;147700
07/07/2022;149150
08/07/2022;150450
11/07/2022;149550
12/07/2022;149150
13/07/2022;150100
14/07/2022;150650
15/07/2022;150500
18/07/2022;150050
19/07/2022;150650
20/07/2022;148800
21/07/2022;148650
22/07/2022;148650
25/07/2022;148500
26/07/2022;148500
27/07/2022;148650
